match_id,team_id,player_name,steam_id,position,g,a,xG,shots,passes,exits,entries,hits,turnovers,takeaways,touches,poss_s,fow,fol,sa,ga,xGA,body_sv,stick_sv,w,so,toi_s,sp,blocks
M3-G2,PP,Chilliam,76561198319462482,LD,1,0,0.31,1,7,4,2,0,1,3,64,51.3,0,0,,,,,,,,900,111,0
M3-G2,PP,Invincible,76561198074692393,RD,0,1,0.02,1,14,1,0,0,0,1,61,39.8,0,0,,,,,,,,900,83.5,1
M3-G2,BB,Gumpy,76561198983591530,G,0,0,,0,2,0,0,0,0,0,8,2.2,0,0,3,1,0.49,0,2,0,0,900,25,0
M3-G2,PP,milk,76561198084497364,G,0,1,,0,10,6,2,0,0,0,30,26,0,0,7,0,1.15,3,4,1,1,900,225,0
M3-G3,BB,hayden,76561198401353673,C,1,1,1.41,6,8,1,4,0,2,2,135,106.5,3,2,,,,,,,,900,155,0
M3-G3,BB,BarDownBart,76561198268552083,RD,1,0,0.20,1,7,7,4,0,2,1,124,74.8,0,0,,,,,,,,900,101,1
M3-G3,BB,TornLigamentTear,76561198763818494,G,0,0,,0,6,3,2,0,0,0,18,9.6,0,0,3,0,1.02,1,2,1,1,900,145,0
M3-G3,PP,Poro,76561198072423953,C,0,0,0.81,2,14,2,5,0,1,3,87,75.2,2,3,,,,,,,,900,69.5,0
M3-G3,PP,silly,76561198353224230,LW,0,0,0.21,1,12,4,6,0,1,0,89,64,0,0,,,,,,,,900,40,0
M3-G3,BB,Blooma,76561199030119453,LD,0,1,0.34,2,10,2,2,1,0,0,70,46.6,0,0,,,,,,,,900,71.5,0
M3-G3,BB,Nakesy,76561198768487986,LW,0,1,0.00,0,18,5,6,0,1,1,115,84.4,0,0,,,,,,,,900,88.5,0
M3-G3,PP,Chilliam,76561198319462482,LD,0,0,0.00,0,10,2,2,0,2,2,64,40.3,0,0,,,,,,,,900,34,0
M3-G3,PP,milk,76561198084497364,RD,0,0,0.00,0,6,2,0,0,0,0,44,27.6,0,0,,,,,,,,900,27,2
M3-G3,PP,Glenlivet,76561198432372019,G,0,0,,0,1,0,0,0,0,0,11,1.1,0,0,9,2,1.94,1,6,0,0,900,72.5,0
M4-G1,MOFO,pretty,76561198099463628,C,0,0,0.88,4,12,3,3,1,1,0,88,45.6,5,0,,,,,,,,900,53.5,0
M4-G1,MOFO,richardp,76561199237272742,LW,0,0,0.34,2,9,4,5,0,2,0,94,74.4,0,0,,,,,,,,900,31.5,0
M4-G1,MOFO,ScottStevens,76561198046087380,RD,0,0,0.00,0,16,4,2,0,4,2,89,59.6,0,0,,,,,,,,900,46,1
M4-G1,LBR,ALEJO,76561198146087733,LW,1,1,1.66,4,7,2,3,0,0,1,48,37,0,0,,,,,,,,900,145,0
M4-G1,LBR,stinkyshawn,76561198068115505,C,1,1,0.57,4,18,6,6,0,1,5,130,87.9,0,5,,,,,,,,900,204.5,0
M4-G1,LBR,Bingus,76561198170165423,RD,0,1,0.08,1,13,4,4,0,1,1,54,47.3,0,0,,,,,,,,900,83,1
M4-G1,LBR,LePuckuer,76561198073174004,LD,0,1,0.55,3,12,3,4,0,2,1,67,55.7,0,0,,,,,,,,900,79.5,0
M4-G1,MOFO,JohnPuck,76561198038209028,LD,0,0,0.00,0,10,7,3,0,1,1,60,38.3,0,0,,,,,,,,900,42.5,1
M4-G1,LBR,Foster,76561199191678078,G,0,0,,0,1,1,0,0,0,0,18,7.7,0,0,6,0,1.23,1,5,1,1,900,162.5,0
M4-G1,MOFO,ghost,76561199046702548,G,0,0,,0,3,1,1,0,0,1,14,1.7,0,0,12,2,2.85,2,8,0,0,900,107.5,0
M4-G2,MOFO,pretty,76561198099463628,C,0,2,0.46,3,12,4,5,1,1,2,116,80,4,2,,,,,,,,1000.4,131.5,1
M4-G2,MOFO,richardp,76561199237272742,LW,1,0,1.19,4,10,2,8,0,1,1,73,49.7,0,0,,,,,,,,1000.4,122.5,0
M4-G2,MOFO,ScottStevens,76561198046087380,RD,0,1,0.00,0,12,4,3,0,1,3,102,66.1,0,0,,,,,,,,1000.4,84.5,0
M4-G2,LBR,ALEJO,76561198146087733,LW,0,1,0.18,1,5,4,7,0,2,1,94,62.9,0,0,,,,,,,,1000.4,56,0
M4-G2,LBR,stinkyshawn,76561198068115505,C,1,0,0.40,2,14,1,6,0,3,0,137,108,2,4,,,,,,,,1000.4,102,0
