name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
MissTheNetMarge,76561199355357311,S,,16,16,4,12,0.9370729485260624,21,195,50,50,2,23,26,1203,882.1,0,0,0,0,0,0,0,0,0,0,0,1457.5,85.36148890479599,3.28,0.00,LL,name:MissTheNetMarge,15367,0,15367,960.4375,0,960.4375,12,163,32,10,13,25,1
Jackk,76561198179935738,S,,2,4,1,3,1.2222033610592429,7,31,4,8,0,10,5,210,138.8,0,0,0,0,0,0,0,0,0,0,0,267,81.58207435070446,2.17,0.00,NK,name:Jackk,2945.5,0,2945.5,1472.75,0,1472.75,0,10,21,0,10,3,2
Bwall,76561198278689368,G,,0,1,0,1,0,0,7,2,0,0,2,0,43,9.4,0,0,3,22,5,10,7,1.6666666666666667,0.7727272727272727,1,0,217.5,72.5,0.00,3.33,TOR,name:Bwall,0,2700,2700,0,900,900,0,7,0,2,0,0,0
Dorofeyev,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,SEA,name:Dorofeyev,0,0,0,0,0,0,0,0,0,0,0,0,0
cb,76561198987362385,S,,8,10,3,7,1.2415505586977513,23,65,11,22,21,7,14,462,282.9,0,0,0,0,0,0,0,0,0,0,0,843,104.66271209822044,6.13,0.00,PKN,name:foxbrow,7249,0,7249,906.125,0,906.125,1,27,38,2,5,9,5
ttearr,76561198763818494,G,,0,3,0,3,0,0,23,6,1,0,0,5,121,20.8,0,0,7,87,26,32,29,3.3043846642660455,0.7011494252873562,2,0,757.5,96.27197627621267,0.00,12.94,LL,name:ttearr,0,7081.5,7081.5,0,1011.6428571428571,1011.6428571428571,0,23,0,0,0,5,0
barky,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:barky,0,0,0,0,0,0,0,0,0,0,0,0,0
Figgy,76561198084156245,S,,5,5,4,1,1.1569015605316606,13,40,14,15,2,10,5,364,226.50000000000003,8,5,0,0,0,0,0,0,0,0,0,486.5,112.56652183973057,3.44,0.00,NK,name:Figgy,3889.7,0,3889.7,777.9399999999999,0,777.9399999999999,2,22,18,0,10,5,0
LePuckuer,76561198073174004,S,,8,10,3,7,1.1186794610450952,16,99,38,37,2,15,21,615,435.40000000000003,0,4,0,0,0,0,0,0,0,0,0,900,100.68115149405857,3.00,0.00,BCL,name:LePuckuer,8045.2,0,8045.2,1005.65,0,1005.65,1,69,30,4,11,18,3
Frolov,76561198020702570,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,TOR,name:Frolov,0,0,0,0,0,0,0,0,0,0,0,0,0
